category,amount
10:15 PM,78
7:05 PM,56
7:09 PM,24
1:04 AM,22
5:59 AM,88
10:21 PM,30
10:48 AM,81
5:16 AM,35
7:59 AM,24
8:42 AM,66
5:24 AM,94
3:46 PM,100
10:31 AM,22
3:43 PM,63
8:50 AM,40
3:25 AM,60
12:38 PM,44
12:23 PM,54
5:58 AM,59
5:16 PM,49
6:00 PM,2
2:08 PM,67
1:47 AM,61
9:50 AM,62
8:36 PM,26
8:15 AM,98
10:58 PM,17
6:06 AM,62
8:49 AM,97
5:25 PM,26
7:13 AM,80
2:41 PM,11
10:11 AM,52
9:47 AM,24
4:23 PM,77
9:19 PM,5
1:32 PM,44
6:51 PM,71
8:34 PM,90
10:52 AM,81
8:43 PM,23
8:58 AM,94
10:01 AM,47
9:49 PM,74
9:22 AM,11
12:43 AM,48
5:42 AM,5
3:13 AM,20
1:36 AM,6
8:24 AM,25
